game_timer,possession_clock,ball_x,ball_y,ball_radius,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,player_5_x,player_5_y,player_6_x,player_6_y,player_7_x,player_7_y,player_8_x,player_8_y,player_9_x,player_9_y,player_10_x,player_10_y
711.2600,11.9900,23.4254,45.1273,3.6430,19.0881,13.9115,10.1194,13.5470,20.8184,44.5101,14.1654,38.7957,20.8906,34.2094,13.3074,22.1998,9.1404,18.5865,19.3110,42.4729,16.4472,32.5317,15.4918,37.7022
711.2200,11.9700,24.0045,44.6889,2.9999,18.9352,13.8225,9.9834,13.7180,21.2291,44.2904,13.5966,38.6534,20.9951,34.4819,13.1285,22.1485,8.9795,18.6732,19.6941,42.2741,16.4648,32.5728,15.0759,37.4984
711.1800,11.9500,24.6252,44.3009,2.2456,18.7882,13.7375,9.8230,13.8657,21.6456,44.0491,13.0493,38.4816,21.0864,34.7860,12.9660,22.0829,8.8283,18.7426,20.0622,42.0577,16.5013,32.7169,14.6409,37.2556
711.1400,11.9200,25.2544,43.7794,1.4904,18.6468,13.6553,9.6589,14.0055,22.0959,43.8521,12.5195,38.2439,21.2320,35.0278,12.8073,21.9540,8.6904,18.8007,20.4238,41.8595,16.5353,32.8562,14.1908,36.9915
711.1000,11.9000,25.7026,43.4466,0.5066,18.5095,13.5832,9.4899,14.1389,22.5495,43.6205,11.9671,37.9275,21.3884,35.2872,12.6587,21.8311,8.5586,18.8447,20.7949,41.6255,16.5675,32.9321,13.7618,36.7899
711.0600,11.8800,25.9734,43.1485,0.9563,18.3802,13.5180,9.3071,14.2725,23.0488,43.4233,11.3783,37.5438,21.5559,35.5452,12.5171,21.7382,8.4308,18.8748,21.1620,41.4140,16.5932,33.0001,13.3326,36.5879
711.0200,11.8500,26.2265,42.8935,1.5819,18.2512,13.4517,9.1293,14.4103,23.5253,43.1775,10.8268,37.1601,21.7177,35.7560,12.4069,21.5581,8.3115,18.8915,21.5376,41.1770,16.6471,33.0840,12.9692,36.4082
710.9800,11.8300,26.4416,42.7094,2.1839,18.1274,13.3912,8.9530,14.5306,24.0294,42.8901,10.3232,36.8012,21.8701,35.9524,12.3122,21.3752,8.1955,18.8952,21.9078,40.9371,16.6782,33.1436,12.5970,36.1741
710.9400,11.8100,26.7632,42.4584,2.6949,18.0028,13.3301,8.7834,14.6421,24.5520,42.5928,9.8360,36.4177,22.0907,36.1974,12.2356,21.1883,8.0803,18.8764,22.2808,40.6893,16.7135,33.2550,12.2508,35.9804
710.9000,11.7800,26.9761,42.2491,3.1950,17.8839,13.2798,8.6237,14.7458,25.0107,42.2341,9.3696,36.0367,22.2977,36.4044,12.1699,21.0026,7.9661,18.8635,22.6496,40.4001,16.7631,33.4217,11.9380,35.8025
710.8600,11.7600,27.3050,42.0678,3.7338,17.7724,13.2412,8.4671,14.8452,25.4865,41.8348,8.9120,35.6031,22.4850,36.5605,12.1304,20.8603,7.8561,18.8425,23.0045,40.0789,16.8109,33.5352,11.6179,35.6302
